,code,rca_arg,rca_bra,rca_deu,rca_chn,pci,cog,description,export,category,id
0,460120,0.0,0.01242288694681877,0.2573336612154828,5.836284526390938,-1.9831005632243857,-0.24236492185634165,"Mats, matting and screens, vegetable plaiting materia",0.0,"Paper, Pulp of Wood or of Fibrous Material",460120
1,730820,0.123577353583643,0.4483825320428237,0.7689132791906682,1.4755179758544013,-0.6318421859924139,-0.2680551015553668,"Towers and lattice masts, iron or steel",1450602.2,Base Metals,730820
2,732111,0.009406648598524458,0.4675803392079343,0.27998941420867424,3.0088159336994025,-0.2583664379077525,-0.03151946094989383,"Cooking appliances for gas fuel, etc, iron or steel",169610.4,Base Metals,732111
3,732490,0.026808001071246042,0.04950954922036576,1.4984178463684656,3.4634697697255663,0.34449352993865995,0.02464728607469135,"Sanitary ware and parts thereof, iron or steel, nes",135885.6,Base Metals,732490
4,840290,0.10599208506771156,0.12202683944589204,0.5560819259324,2.1731227403268605,0.3606946940857118,0.041841882269830974,Parts of steam or vapour generating boilers nes,1186136.2,"Machinery, Electrical",840290
5,840410,0.004388689503973915,0.34804547991071205,0.5883641863534737,2.509267760562236,0.4304218618076769,0.17808016799028656,Auxiliary plant for steam/vapour generating boilers,13984.4,"Machinery, Electrical",840410
6,840510,0.1353178045626464,0.3538432409386819,0.8951863791221922,0.5372982622737741,0.06292646957161106,-0.02701207999749176,"Producer, water and acetylene gas generators",274591.2,"Machinery, Electrical",840510
7,840619,4.6372928621215e-05,2.1194394873879494,2.1762531975444634,0.9269070953241522,1.277642682703534,0.33661544738655225,Steam and vapour turbines nes,276.0,"Machinery, Electrical",840619
8,840999,0.6786288035352724,2.1934549419254465,2.8890755227029272,0.4591799131643744,0.8848354047602819,0.10405299088449778,Parts for diesel and semi-diesel engines,78199300.6,"Machinery, Electrical",840999
9,841011,0.3952430639274329,0.31112789140570624,1.3387439232572806,0.9295199244148938,0.20676251305972335,0.13910878512426564,"Hydraulic turbines, water wheels, power < 1000 kW",152232.4,"Machinery, Electrical",841011
10,841012,0.02631271784441544,0.7276927056259302,1.835632163729923,1.1999725806665544,0.4844301903876618,0.13026237402592986,"Hydraulic turbines, water wheels, power 1000-10000 kW",10358.4,"Machinery, Electrical",841012
11,841090,0.941910794878314,2.024643707051514,0.8195210676783431,1.8026494500864592,0.16498076995206618,-0.017709287190425808,Parts of hydraulic turbines and water wheels,3727080.0,"Machinery, Electrical",841090
